0;0.44
3;0.49
5;0.49
7;0.48
9;0.47
12;0.47
14;0.48
16;0.50
18;0.51
20;0.56
22;0.55
25;0.55
27;0.54
29;0.52
31;0.51
33;0.50
36;0.49
38;0.48
40;0.46
42;0.44
44;0.42
47;0.42
49;0.41
51;0.40
53;0.39
56;0.39
58;0.37
60;0.36
62;0.37
64;0.36
67;0.35
69;0.34
71;0.33
73;0.33
75;0.33
78;0.33
80;0.34
82;0.33
84;0.33
86;0.33
89;0.35
91;0.40
93;0.43
95;0.44
97;0.44
99;0.43
102;0.41
104;0.40
106;0.40
108;0.40
110;0.40
113;0.42
115;0.43
117;0.44
119;0.41
121;0.41
124;0.40
126;0.39
128;0.39
131;0.40
133;0.38
135;0.37
137;0.37
139;0.37
141;0.36
144;0.35
146;0.36
148;0.35
151;0.34
154;0.37
156;0.39
158;0.39
160;0.41
163;0.41
165;0.43
167;0.41
169;0.40
171;0.40
173;0.40
176;0.39
178;0.37
180;0.38
182;0.37
184;0.36
187;0.37
189;0.37
191;0.36
193;0.35
195;0.37
197;0.37
200;0.38
202;0.37
204;0.36
206;0.36
208;0.35
211;0.34
213;0.35
215;0.35
217;0.36
219;0.37
222;0.41
224;0.40
226;0.40
228;0.40
230;0.41
232;0.41
235;0.43
237;0.43
239;0.42
241;0.41
243;0.40
246;0.40
248;0.40
250;0.39
252;0.37
254;0.36
256;0.35
259;0.39
261;0.39
263;0.40
265;0.45
267;0.46
270;0.48
272;0.54
274;0.54
277;0.54
279;0.52
281;0.51
283;0.49
285;0.49
287;0.50
290;0.51
292;0.55
294;0.57
296;0.58
299;0.60
301;0.59
304;0.65
306;0.64
308;0.73
310;0.74
313;0.75
315;0.75
317;0.79
319;0.79
321;0.83
324;0.92
326;0.92
328;0.93
331;0.94
333;0.93
335;0.91
337;0.93
339;0.94
342;0.92
344;0.93
346;1.02
348;1.04
350;1.11
352;1.12
355;1.11
357;1.13
359;1.11
361;1.09
363;1.10
366;1.08
368;1.05
370;1.02
372;1.00
374;0.98
377;0.95
379;0.98
381;0.97
383;0.95
385;0.93
387;0.90
390;0.89
392;0.92
394;0.92
396;0.95
398;0.98
401;1.07
403;1.13
405;1.24
407;1.21
409;1.17
411;1.15
414;1.13
416;1.11
418;1.11
420;1.10
422;1.13
425;1.10
427;1.08
429;1.09
431;1.08
433;1.09
436;1.12
438;1.09
440;1.06
442;1.03
444;1.02
447;1.02
449;1.00
451;0.98
453;0.97
455;1.03
458;1.13
460;1.18
462;1.19
464;1.17
466;1.17
469;1.13
471;1.11
473;1.08
475;1.05
477;1.01
479;1.00
482;0.99
484;0.96
486;0.93
488;0.92
490;0.91
493;0.89
495;0.87
497;0.89
499;0.91
501;0.95
504;0.95
506;0.93
508;0.91
510;0.87
512;0.85
514;0.84
517;0.84
519;0.86
521;0.90
523;0.98
525;1.06
528;1.04
530;1.04
532;1.02
534;0.99
536;0.95
539;0.96
541;0.97
543;1.02
545;1.01
547;1.01
549;0.99
552;0.97
554;0.95
556;0.96
558;0.97
560;0.94
563;0.94
565;0.91
567;0.88
569;0.85
571;0.83
574;0.80
576;0.79
578;0.84
581;0.85
583;0.91
585;0.88
587;0.85
589;0.84
592;0.82
594;0.83
596;0.83
598;0.85
600;0.83
603;0.81
605;0.79
607;0.82
610;0.83
612;0.81
614;0.82
616;0.82
618;0.85
621;0.83
623;0.82
625;0.80
627;0.83
629;0.82
632;0.85
634;0.83
636;0.80
638;0.78
640;0.82
643;0.82
645;0.88
647;0.86
649;0.85
651;0.82
653;0.80
656;0.78
658;0.75
660;0.74
662;0.72
664;0.71
667;0.69
669;0.71
671;0.70
673;0.76
675;0.78
677;0.77
680;0.77
682;0.76
684;0.74
686;0.73
688;0.76
691;0.82
693;0.85
695;0.83
698;0.83
700;0.80
702;0.82
704;0.82
